name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
abuja,2020-01-01,34.1,16.4,25.4,31.9,16.4,24.6,7,33.3,0,0,0,,0,0,18.8,9.8,28,1012,51.2,6.2,251.3,21.6,9,,2020-01-01T06:45:17,2020-01-01T18:21:32,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65125099999,DNAA,remote,65112599999"
abuja,2020-01-02,31,18.5,23.8,29.2,18.5,23.4,4.3,28.7,0,0,0,,0,0,20.4,15,25.6,1014,24.5,3.7,252,21.9,9,,2020-01-02T06:45:41,2020-01-02T18:22:03,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65125099999,DNAA,65112599999,remote"
abuja,2020-01-03,32,14,22.9,30,14,22.4,5,32.5,0,0,0,,0,0,15.4,9.2,29.5,1014.5,17.4,4.6,254,22.1,9,,2020-01-03T06:46:05,2020-01-03T18:22:35,0.25,Clear,Clear conditions throughout the day.,clear-day,"65125099999,DNAA,remote,65112599999"
abuja,2020-01-04,32,15,23.5,30,15,22.9,5.7,33.7,0,0,0,,0,0,13.4,10.3,64.2,1014.2,20.9,2.8,251.8,21.9,9,,2020-01-04T06:46:29,2020-01-04T18:23:07,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65125099999,DNAA,remote,65112599999"
abuja,2020-01-05,31,16.4,23.8,29.4,16.4,23.4,8.8,40.6,0,0,0,,0,0,16.6,13.9,78.9,1013.3,8.3,0.7,246.8,21.3,9,,2020-01-05T06:46:51,2020-01-05T18:23:39,0.33,Clear,Clear conditions throughout the day.,clear-day,"65125099999,DNAA,remote,65112599999"
abuja,2020-01-06,35.6,18,25.8,34.6,18,25.2,11.5,43.9,0,0,0,,0,0,15,9.2,75.4,1012,26.8,1.1,237.7,20.5,9,,2020-01-06T06:47:13,2020-01-06T18:24:11,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65125099999,DNAA,65112599999,remote"
abuja,2020-01-07,35,19.4,26.4,34.3,19.4,26,12.5,44.7,0,0,0,,0,0,14.8,9.2,79.3,1011.9,18.1,1.8,247.7,21.3,9,,2020-01-07T06:47:34,2020-01-07T18:24:42,0.39,Clear,Clear conditions throughout the day.,clear-day,"65125099999,DNAA,65112599999,remote"
abuja,2020-01-08,36,20.2,27.3,34.5,20.2,26.8,11.9,42.1,0,0,0,,0,0,12.8,6,53.6,1012.8,16.2,2.5,248.7,21.4,9,,2020-01-08T06:47:54,2020-01-08T18:25:14,0.42,Clear,Clear conditions throughout the day.,clear-day,"65125099999,DNAA,remote,65112599999"
abuja,2020-01-09,36,19.6,27.4,34.5,19.6,26.7,11,39.5,0,0,0,,0,0,13.6,6.9,78.3,1012.6,10.1,3.3,253,21.8,9,,2020-01-09T06:48:14,2020-01-09T18:25:45,0.46,Clear,Clear conditions throughout the day.,clear-day,"65125099999,DNAA,65112599999,remote"
abuja,2020-01-10,37,18,27.2,35.8,18,26.7,12.5,43.5,0,0,0,,0,0,17.4,8.1,74.8,1013.5,12.9,2.8,251.6,21.6,9,,2020-01-10T06:48:32,2020-01-10T18:26:16,0.5,Clear,Clear conditions throughout the day.,clear-day,"65125099999,DNAA,65112599999,remote"
